Region,Province,Age_Group,Male,Female,,
MIMAROPA REGION,PALAWAN,65 - 69,11767,11727,,
MIMAROPA REGION,PALAWAN,75 - 79,4110,5020,,
MIMAROPA REGION,PALAWAN,60 - 64,16911,16232,,
MIMAROPA REGION,PALAWAN,>= 80,3373,5380,,
MIMAROPA REGION,PALAWAN,70 - 74,7414,7885,,
REGION III (CENTRAL LUZON),PAMPANGA,5 - 9,142325,132467,,
REGION III (CENTRAL LUZON),PAMPANGA,10 - 14,143704,133226,,
REGION III (CENTRAL LUZON),PAMPANGA,15 - 19,139809,132358,,
REGION III (CENTRAL LUZON),PAMPANGA,20 - 24,143427,137935,,
REGION III (CENTRAL LUZON),PAMPANGA,25 - 29,129531,126063,,
REGION III (CENTRAL LUZON),PAMPANGA,30 - 34,113549,110312,,
REGION III (CENTRAL LUZON),PAMPANGA,35 - 39,100240,98015,,
REGION III (CENTRAL LUZON),PAMPANGA,45 - 49,78658,74931,,
REGION III (CENTRAL LUZON),PAMPANGA,50 - 54,70628,69165,,
REGION III (CENTRAL LUZON),PAMPANGA,55 - 59,56045,55061,,
REGION III (CENTRAL LUZON),PAMPANGA,60 - 64,44187,45342,,
REGION III (CENTRAL LUZON),PAMPANGA,65 - 69,29499,32661,,
REGION III (CENTRAL LUZON),PAMPANGA,70 - 74,19922,24312,,
REGION III (CENTRAL LUZON),PAMPANGA,75 - 79,9593,13861,,
REGION III (CENTRAL LUZON),PAMPANGA,40 - 44,93130,89808,,
REGION III (CENTRAL LUZON),PAMPANGA,>= 80,8286,15879,,
REGION III (CENTRAL LUZON),PAMPANGA,0 - 4,144432,135948,,
REGION I (ILOCOS REGION),PANGASINAN,0 - 4,161830,150535,,
REGION I (ILOCOS REGION),PANGASINAN,70 - 74,25268,33773,,
REGION I (ILOCOS REGION),PANGASINAN,65 - 69,36424,41826,,
REGION I (ILOCOS REGION),PANGASINAN,60 - 64,52175,54275,,
REGION I (ILOCOS REGION),PANGASINAN,55 - 59,63893,63281,,
REGION I (ILOCOS REGION),PANGASINAN,50 - 54,76528,73758,,
REGION I (ILOCOS REGION),PANGASINAN,45 - 49,85350,80364,,
REGION I (ILOCOS REGION),PANGASINAN,75 - 79,13385,21960,,
REGION I (ILOCOS REGION),PANGASINAN,40 - 44,96297,90616,,
REGION I (ILOCOS REGION),PANGASINAN,30 - 34,114109,107887,,
REGION I (ILOCOS REGION),PANGASINAN,25 - 29,128908,121122,,
REGION I (ILOCOS REGION),PANGASINAN,20 - 24,143490,135436,,
REGION I (ILOCOS REGION),PANGASINAN,15 - 19,158905,149038,,
REGION I (ILOCOS REGION),PANGASINAN,10 - 14,165362,152756,,
REGION I (ILOCOS REGION),PANGASINAN,5 - 9,165131,152548,,
REGION I (ILOCOS REGION),PANGASINAN,35 - 39,105009,100090,,
REGION I (ILOCOS REGION),PANGASINAN,>= 80,12051,25848,,
REGION IV-A (CALABARZON),QUEZON,>= 80,5652,13475,,
REGION IV-A (CALABARZON),QUEZON,5 - 9,124064,115489,,
REGION IV-A (CALABARZON),QUEZON,10 - 14,124524,117194,,
REGION IV-A (CALABARZON),QUEZON,15 - 19,114799,108639,,
REGION IV-A (CALABARZON),QUEZON,20 - 24,101520,95212,,
REGION IV-A (CALABARZON),QUEZON,25 - 29,87647,83634,,
REGION IV-A (CALABARZON),QUEZON,30 - 34,77540,73985,,
REGION IV-A (CALABARZON),QUEZON,35 - 39,70117,66523,,
REGION IV-A (CALABARZON),QUEZON,40 - 44,65649,62064,,
REGION IV-A (CALABARZON),QUEZON,45 - 49,57919,54935,,
REGION IV-A (CALABARZON),QUEZON,50 - 54,53086,51593,,
REGION IV-A (CALABARZON),QUEZON,55 - 59,45305,44038,,
REGION IV-A (CALABARZON),QUEZON,60 - 64,36034,37535,,
REGION IV-A (CALABARZON),QUEZON,65 - 69,24240,27906,,
REGION IV-A (CALABARZON),QUEZON,70 - 74,13826,19078,,
REGION IV-A (CALABARZON),QUEZON,0 - 4,118877,111802,,
REGION IV-A (CALABARZON),QUEZON,75 - 79,7263,12627,,
REGION II (CAGAYAN VALLEY),QUIRINO,35 - 39,7316,6482,,
REGION II (CAGAYAN VALLEY),QUIRINO,5 - 9,10716,9893,,
REGION II (CAGAYAN VALLEY),QUIRINO,0 - 4,9661,9193,,
REGION II (CAGAYAN VALLEY),QUIRINO,75 - 79,720,962,,
REGION II (CAGAYAN VALLEY),QUIRINO,70 - 74,1346,1570,,
REGION II (CAGAYAN VALLEY),QUIRINO,65 - 69,2386,2367,,
REGION II (CAGAYAN VALLEY),QUIRINO,60 - 64,3457,3316,,
REGION II (CAGAYAN VALLEY),QUIRINO,55 - 59,4209,4001,,
REGION II (CAGAYAN VALLEY),QUIRINO,50 - 54,5063,4406,,
REGION II (CAGAYAN VALLEY),QUIRINO,>= 80,678,1229,,
REGION II (CAGAYAN VALLEY),QUIRINO,40 - 44,6702,5994,,
REGION II (CAGAYAN VALLEY),QUIRINO,30 - 34,7905,7121,,
REGION II (CAGAYAN VALLEY),QUIRINO,25 - 29,8836,7947,,
REGION II (CAGAYAN VALLEY),QUIRINO,20 - 24,9363,8716,,
REGION II (CAGAYAN VALLEY),QUIRINO,15 - 19,10256,9503,,
REGION II (CAGAYAN VALLEY),QUIRINO,45 - 49,5833,5181,,
REGION II (CAGAYAN VALLEY),QUIRINO,10 - 14,10922,10280,,
REGION IV-A (CALABARZON),RIZAL,75 - 79,7631,12521,,
REGION IV-A (CALABARZON),RIZAL,>= 80,5411,12173,,
REGION IV-A (CALABARZON),RIZAL,60 - 64,46720,52041,,
REGION IV-A (CALABARZON),RIZAL,55 - 59,60115,63315,,
REGION IV-A (CALABARZON),RIZAL,50 - 54,75565,76889,,
REGION IV-A (CALABARZON),RIZAL,45 - 49,90692,88373,,
REGION IV-A (CALABARZON),RIZAL,30 - 34,136918,131392,,
REGION IV-A (CALABARZON),RIZAL,35 - 39,122700,121140,,
REGION IV-A (CALABARZON),RIZAL,70 - 74,16968,22890,,
REGION IV-A (CALABARZON),RIZAL,25 - 29,145339,142054,,
REGION IV-A (CALABARZON),RIZAL,20 - 24,155785,150976,,
REGION IV-A (CALABARZON),RIZAL,15 - 19,155306,148829,,
REGION IV-A (CALABARZON),RIZAL,10 - 14,167721,157190,,
REGION IV-A (CALABARZON),RIZAL,5 - 9,173980,161340,,
REGION IV-A (CALABARZON),RIZAL,0 - 4,170988,161892,,
REGION IV-A (CALABARZON),RIZAL,40 - 44,111531,109011,,
REGION IV-A (CALABARZON),RIZAL,65 - 69,29738,36191,,
MIMAROPA REGION,ROMBLON,0 - 4,14320,13483,,
MIMAROPA REGION,ROMBLON,10 - 14,18027,16595,,
MIMAROPA REGION,ROMBLON,15 - 19,17267,16395,,
MIMAROPA REGION,ROMBLON,20 - 24,14433,13031,,
MIMAROPA REGION,ROMBLON,30 - 34,10026,9361,,
MIMAROPA REGION,ROMBLON,35 - 39,8968,8531,,
MIMAROPA REGION,ROMBLON,40 - 44,8342,7732,,
MIMAROPA REGION,ROMBLON,45 - 49,8018,7512,,
MIMAROPA REGION,ROMBLON,50 - 54,7606,7343,,
MIMAROPA REGION,ROMBLON,55 - 59,6595,6663,,
MIMAROPA REGION,ROMBLON,60 - 64,5470,5721,,
MIMAROPA REGION,ROMBLON,65 - 69,3526,4363,,
MIMAROPA REGION,ROMBLON,70 - 74,2239,3503,,
MIMAROPA REGION,ROMBLON,5 - 9,16736,15441,,
MIMAROPA REGION,ROMBLON,25 - 29,11238,10657,,
MIMAROPA REGION,ROMBLON,75 - 79,1641,2766,,
MIMAROPA REGION,ROMBLON,>= 80,1271,3252,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),0 - 4,44028,41365,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),70 - 74,5580,7164,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),65 - 69,8336,8818,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),60 - 64,12129,11770,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),55 - 59,15026,13903,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),50 - 54,18306,16783,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),45 - 49,20518,18557,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),40 - 44,21538,19391,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),35 - 39,22226,20238,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),30 - 34,24949,22254,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),25 - 29,30755,28157,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),20 - 24,38132,35592,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),15 - 19,45527,43481,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),10 - 14,45907,43302,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),75 - 79,3708,5045,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),>= 80,2979,4881,,
REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),5 - 9,47145,43555,,
REGION XII (SOCCSKSARGEN),SARANGANI,75 - 79,1597,1927,,
REGION XII (SOCCSKSARGEN),SARANGANI,5 - 9,34417,32384,,
REGION XII (SOCCSKSARGEN),SARANGANI,10 - 14,32953,31545,,
REGION XII (SOCCSKSARGEN),SARANGANI,15 - 19,30137,28947,,
REGION XII (SOCCSKSARGEN),SARANGANI,20 - 24,26647,24891,,
REGION XII (SOCCSKSARGEN),SARANGANI,25 - 29,23944,22067,,
REGION XII (SOCCSKSARGEN),SARANGANI,30 - 34,21147,18445,,
REGION XII (SOCCSKSARGEN),SARANGANI,0 - 4,33381,31608,,
REGION XII (SOCCSKSARGEN),SARANGANI,35 - 39,18006,15806,,
REGION XII (SOCCSKSARGEN),SARANGANI,45 - 49,13989,12711,,
REGION XII (SOCCSKSARGEN),SARANGANI,50 - 54,11612,10360,,
REGION XII (SOCCSKSARGEN),SARANGANI,55 - 59,9045,8324,,
REGION XII (SOCCSKSARGEN),SARANGANI,60 - 64,6921,6597,,
REGION XII (SOCCSKSARGEN),SARANGANI,65 - 69,4737,4618,,
REGION XII (SOCCSKSARGEN),SARANGANI,70 - 74,2732,3059,,
REGION XII (SOCCSKSARGEN),SARANGANI,40 - 44,16083,14065,,
REGION XII (SOCCSKSARGEN),SARANGANI,>= 80,1374,1993,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,40 - 44,3265,3040,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,75 - 79,887,1189,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,>= 80,744,1429,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,0 - 4,4156,3881,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,5 - 9,4589,4455,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,10 - 14,4769,4468,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,20 - 24,4242,3993,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,25 - 29,3998,3799,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,30 - 34,3680,3550,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,15 - 19,4841,4612,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,45 - 49,3051,2899,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,50 - 54,2871,2627,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,55 - 59,2484,2452,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,60 - 64,2077,2208,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,65 - 69,1673,1793,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,70 - 74,1115,1447,,
REGION VII (CENTRAL VISAYAS),SIQUIJOR,35 - 39,3474,3256,,
REGION V (BICOL REGION),SORSOGON,45 - 49,20488,19604,,
REGION V (BICOL REGION),SORSOGON,70 - 74,5813,8002,,
REGION V (BICOL REGION),SORSOGON,65 - 69,8625,10166,,
REGION V (BICOL REGION),SORSOGON,60 - 64,12617,13092,,
REGION V (BICOL REGION),SORSOGON,55 - 59,15832,15802,,
REGION V (BICOL REGION),SORSOGON,50 - 54,19198,18828,,
REGION V (BICOL REGION),SORSOGON,40 - 44,22867,21808,,
REGION V (BICOL REGION),SORSOGON,0 - 4,46796,43384,,
REGION V (BICOL REGION),SORSOGON,30 - 34,25893,24504,,
REGION V (BICOL REGION),SORSOGON,25 - 29,30270,28760,,
REGION V (BICOL REGION),SORSOGON,20 - 24,37803,35095,,
REGION V (BICOL REGION),SORSOGON,15 - 19,46837,44214,,
REGION V (BICOL REGION),SORSOGON,10 - 14,47631,43400,,
REGION V (BICOL REGION),SORSOGON,5 - 9,49618,44955,,
REGION V (BICOL REGION),SORSOGON,35 - 39,23517,22425,,
REGION V (BICOL REGION),SORSOGON,75 - 79,3519,5857,,
REGION V (BICOL REGION),SORSOGON,>= 80,2726,6204,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,75 - 79,4463,6886,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,65 - 69,14596,16648,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,60 - 64,21768,23122,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,55 - 59,28732,28749,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,50 - 54,36740,35699,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,45 - 49,43922,41395,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,40 - 44,51963,48507,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,>= 80,3644,7105,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,35 - 39,56979,52736,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,25 - 29,74078,70544,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,20 - 24,79481,77726,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,15 - 19,82034,79939,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,10 - 14,90142,85435,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,5 - 9,93903,86976,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,0 - 4,90978,85511,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,30 - 34,67129,61906,,
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,70 - 74,8297,10823,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,5 - 9,21596,19597,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,15 - 19,22102,20722,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,20 - 24,18302,17266,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,25 - 29,15471,14797,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,30 - 34,14478,13636,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,35 - 39,13103,12577,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,40 - 44,12909,12251,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,45 - 49,11595,10689,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,50 - 54,11394,10835,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,55 - 59,9885,9750,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,60 - 64,8412,8512,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,65 - 69,5963,6608,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,70 - 74,4352,5336,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,75 - 79,2716,3797,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,>= 80,2397,4281,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,0 - 4,20710,18919,,
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,10 - 14,22668,20858,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,70 - 74,4366,5227,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,0 - 4,48827,46154,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,75 - 79,2236,3301,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,65 - 69,7092,7717,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,60 - 64,10416,10563,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,55 - 59,13733,12593,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,50 - 54,17930,16277,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,45 - 49,21398,19101,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,40 - 44,24693,22247,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,>= 80,2016,3732,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,30 - 34,32155,30123,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,25 - 29,36334,34564,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,20 - 24,41113,40016,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,15 - 19,45920,45087,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,10 - 14,49022,46738,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,5 - 9,50672,47682,,
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,35 - 39,27305,25204,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,0 - 4,65509,64922,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,>= 80,1180,1434,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,75 - 79,1293,1434,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,70 - 74,2805,2664,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,65 - 69,4581,4709,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,60 - 64,6956,6090,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,55 - 59,9731,9020,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,50 - 54,15318,13332,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,30 - 34,30674,32180,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,40 - 44,25322,25269,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,35 - 39,28170,30307,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,25 - 29,40196,44148,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,20 - 24,49096,51635,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,15 - 19,60204,61917,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,5 - 9,67916,67474,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,45 - 49,21620,21051,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,10 - 14,65431,65087,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,>= 80,1842,3559,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,0 - 4,26720,24807,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,10 - 14,28016,26184,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,15 - 19,28668,27301,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,20 - 24,25857,24265,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,25 - 29,21984,20376,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,30 - 34,19442,17911,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,35 - 39,17134,15449,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,40 - 44,15491,14480,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,45 - 49,14040,13292,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,50 - 54,12270,12145,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,55 - 59,10426,10599,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,60 - 64,8250,8700,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,65 - 69,5579,6571,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,70 - 74,3547,4785,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,75 - 79,2375,3672,,
REGION XIII (CARAGA),SURIGAO DEL NORTE,5 - 9,28972,27044,,
REGION XIII (CARAGA),SURIGAO DEL SUR,5 - 9,37690,34777,,
REGION XIII (CARAGA),SURIGAO DEL SUR,75 - 79,2790,3721,,
REGION XIII (CARAGA),SURIGAO DEL SUR,70 - 74,4635,5406,,
REGION XIII (CARAGA),SURIGAO DEL SUR,65 - 69,7435,7774,,
REGION XIII (CARAGA),SURIGAO DEL SUR,60 - 64,10506,10604,,
REGION XIII (CARAGA),SURIGAO DEL SUR,55 - 59,12929,12690,,
REGION XIII (CARAGA),SURIGAO DEL SUR,50 - 54,14932,14089,,
REGION XIII (CARAGA),SURIGAO DEL SUR,45 - 49,16099,15060,,
REGION XIII (CARAGA),SURIGAO DEL SUR,40 - 44,17836,16182,,
REGION XIII (CARAGA),SURIGAO DEL SUR,35 - 39,20292,17672,,
REGION XIII (CARAGA),SURIGAO DEL SUR,30 - 34,23405,20572,,
REGION XIII (CARAGA),SURIGAO DEL SUR,25 - 29,26111,24029,,
REGION XIII (CARAGA),SURIGAO DEL SUR,20 - 24,28986,27083,,
REGION XIII (CARAGA),SURIGAO DEL SUR,15 - 19,33439,31687,,
REGION XIII (CARAGA),SURIGAO DEL SUR,10 - 14,35554,33780,,
REGION XIII (CARAGA),SURIGAO DEL SUR,>= 80,2318,4044,,
REGION XIII (CARAGA),SURIGAO DEL SUR,0 - 4,34342,32043,,
REGION III (CENTRAL LUZON),TARLAC,60 - 64,24637,25343,,
REGION III (CENTRAL LUZON),TARLAC,>= 80,5098,10640,,
REGION III (CENTRAL LUZON),TARLAC,0 - 4,76227,71188,,
REGION III (CENTRAL LUZON),TARLAC,5 - 9,79487,72653,,
REGION III (CENTRAL LUZON),TARLAC,10 - 14,79108,73219,,
REGION III (CENTRAL LUZON),TARLAC,15 - 19,72252,67492,,
REGION III (CENTRAL LUZON),TARLAC,20 - 24,68336,64248,,
REGION III (CENTRAL LUZON),TARLAC,30 - 34,55219,52788,,
REGION III (CENTRAL LUZON),TARLAC,35 - 39,49901,48040,,
REGION III (CENTRAL LUZON),TARLAC,25 - 29,62247,58836,,
REGION III (CENTRAL LUZON),TARLAC,45 - 49,41534,39067,,
REGION III (CENTRAL LUZON),TARLAC,50 - 54,37126,36225,,
REGION III (CENTRAL LUZON),TARLAC,55 - 59,30723,29977,,
REGION III (CENTRAL LUZON),TARLAC,65 - 69,16798,19113,,
REGION III (CENTRAL LUZON),TARLAC,70 - 74,11464,14665,,
REGION III (CENTRAL LUZON),TARLAC,75 - 79,5873,9006,,
REGION III (CENTRAL LUZON),TARLAC,40 - 44,46407,44127,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,15 - 19,23097,22940,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,40 - 44,11908,11706,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,20 - 24,19538,19611,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,25 - 29,17217,18849,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,30 - 34,14744,15377,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,35 - 39,13437,14314,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,45 - 49,10043,9245,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,0 - 4,35669,33536,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,55 - 59,4815,4075,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,60 - 64,3413,2913,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,65 - 69,2578,2217,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,70 - 74,1395,1233,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,75 - 79,688,636,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,>= 80,479,579,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,10 - 14,25809,25494,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,50 - 54,7227,5952,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,5 - 9,29317,28494,,
REGION III (CENTRAL LUZON),ZAMBALES,65 - 69,10309,12334,,
REGION III (CENTRAL LUZON),ZAMBALES,>= 80,2775,6350,,
REGION III (CENTRAL LUZON),ZAMBALES,0 - 4,43006,39579,,
REGION III (CENTRAL LUZON),ZAMBALES,5 - 9,45961,42412,,
REGION III (CENTRAL LUZON),ZAMBALES,10 - 14,45525,42992,,
REGION III (CENTRAL LUZON),ZAMBALES,15 - 19,44173,41385,,
REGION III (CENTRAL LUZON),ZAMBALES,25 - 29,38073,36746,,
REGION III (CENTRAL LUZON),ZAMBALES,30 - 34,35119,33894,,
REGION III (CENTRAL LUZON),ZAMBALES,35 - 39,30368,30178,,
REGION III (CENTRAL LUZON),ZAMBALES,20 - 24,42609,41110,,
REGION III (CENTRAL LUZON),ZAMBALES,45 - 49,24618,23669,,
REGION III (CENTRAL LUZON),ZAMBALES,50 - 54,22673,22440,,
REGION III (CENTRAL LUZON),ZAMBALES,55 - 59,18867,19212,,
REGION III (CENTRAL LUZON),ZAMBALES,60 - 64,15120,15998,,
REGION III (CENTRAL LUZON),ZAMBALES,70 - 74,6953,9226,,
REGION III (CENTRAL LUZON),ZAMBALES,75 - 79,3256,5288,,
REGION III (CENTRAL LUZON),ZAMBALES,40 - 44,27196,26770,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,75 - 79,4605,5887,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,40 - 44,28742,26178,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,70 - 74,7151,8385,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,65 - 69,11774,12439,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,60 - 64,16169,16107,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,55 - 59,20433,19095,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,50 - 54,23664,22395,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,45 - 49,26399,24735,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,35 - 39,31138,28214,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,>= 80,3824,6167,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,25 - 29,41104,38516,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,20 - 24,46938,45010,,
